,score_qa_distilbert
0,0.0006007692427374423
1,0.0005297668394632638
2,0.0003785191511269659
3,0.00015927146887406707
4,0.0003206291585229337
5,0.0006291118334047496
6,0.0005266403895802796
7,0.0005240518366917968
8,0.0004053438315168023
9,0.00019668383174575865
10,0.0015331180766224861
11,0.0001791986433090642
12,0.0002453931956551969
13,0.00046616970212198794
14,0.0001748959912220016
15,0.0007027621613815427
16,0.0004761640739161521
17,0.0003343471616972238
18,0.0008406899287365377
19,0.0003794961085077375
20,0.00011147801706101745
21,0.000394165312172845
22,0.0003303517878521234
23,0.0005512513453140855
24,0.00040302411071024835
25,0.0002944239240605384
26,0.002909300848841667
27,0.0006483378238044679
28,0.0018254800233989954
29,0.00038971012691035867
30,0.00032057834323495626
31,0.0006936916033737361
32,0.00045865282299928367
33,0.00039787706919014454
34,0.0007506029214709997
35,0.0003219232603441924
36,0.0007720590219832957
37,0.000801892310846597
38,0.0008699600002728403
39,0.0005380387301556766
40,0.0009084283956326544
41,0.0005614156252704561
42,0.0004871815908700228
43,6.856442632852122e-05
44,0.00014252914115786552
45,0.0004986822023056448
46,0.0003512990369927138
47,0.0002868876908905804
48,0.0006760790711268783
49,0.0005396103370003402
50,0.0005168993375264108
51,0.0004680606070905924
52,7.571694004582241e-05
53,0.00013399832823779434
54,0.0005634528934024274
55,0.0005117043037898839
56,0.0005464367568492889
57,0.00010049846605397761
58,0.0001994742196984589
59,0.00016729447816032916
60,0.0007446794770658016
61,0.00013126604608260095
62,0.00045907360618002713
63,0.0004874822043348104
64,0.00042078568367287517
65,0.0005257694283500314
66,0.0008669248782098293
67,0.0003672428720165044
68,0.00037755208904854953
69,0.0006530716782435775
70,0.0010212615597993135
71,0.0003678272769320756
72,0.0005048209568485618
73,0.0005979208508506417
74,8.663347398396581e-05
75,0.0005648669903166592
76,0.00011179256398463622
77,0.0005579293938353658
78,0.00041007890831679106
79,0.0002842965768650174
80,0.00035316270077601075
81,0.00030562261235900223
82,0.00043921786709688604
83,0.000303616194287315
84,0.0005356196197681129
85,0.0007090010331012309
86,0.00042961988947354257
87,0.00028316600946709514
88,0.00024112653045449406
89,0.00019003455236088485
90,0.000543603440746665
91,0.0007071598083712161
92,0.0006224872777238488
93,0.00020955198851879686
94,0.00037105000228621066
95,0.0007183863781392574
96,0.00028597627533599734
97,0.00025680867838673294
98,0.0005434852791950107
99,0.00036214766441844404
100,0.0004051343130413443
101,0.0005565826431848109
102,0.0006622530054301023
103,0.0007932611624710262
104,0.0008859363151714206
105,0.0005620957817882299
106,0.00031580182258039713
107,9.821322601055726e-05
108,0.0005948108155280352
109,0.0003334495995659381
110,0.0003022120799869299
111,0.00018195502343587577
112,0.00025606248527765274
113,0.00036676647141575813
114,0.0006305004935711622
115,0.0004039638442918658
116,0.00026350858388468623
117,0.00042820165981538594
118,0.0004129344306420535
119,0.00017504484276287258
120,0.00043466041097417474
121,0.00021926582849118859
122,0.0002886669244617224
123,0.0008021141402423382
124,0.0006997004966251552
125,0.0005667795776389539
126,0.0004867527459282428
127,0.0010760680306702852
128,0.0002883465785998851
129,0.0004369673551991582
130,0.00054360885405913
131,0.0006307950825430453
132,0.0006124138017185032
133,0.0002286811068188399
134,8.152962982421741e-05
135,0.0019864889327436686
136,0.0003929504018742591
137,0.0003253839968238026
138,0.00047510256990790367
139,0.0004976687487214804
140,0.0001530768786324188
141,0.0003969890240114182
142,0.0006110614631325006
143,0.000548488344065845
144,0.0004559098742902279
145,0.00013921510253567249
146,0.00015335158968809992
147,0.0007426197989843786
148,0.0006145055522210896
149,0.0005348724080249667
150,0.0004012343706563115
151,0.0002452614135108888
152,0.0008552997023798525
153,0.00011909032764378935
154,9.169083932647482e-05
155,0.0003513270930852741
156,0.0005351622239686549
157,0.00029009493300691247
158,0.00012787416926585138
159,0.00012798901298083365
160,0.00035457618650980294
161,0.00036338967038318515
162,0.0003405936877243221
163,0.0008138158009387553
164,0.00034474555286578834
